year,month,day,max,min
2018,7,day21,21.036774,16.138211
2018,7,day22,18.19478,14.097078
2018,7,day23,18.469055,12.56851
2018,7,day24,22.098426,17.807113
2018,7,day25,19.486646,12.967585
2018,7,day26,18.166611,11.381194
2018,7,day27,19.966263,14.990325
2018,7,day28,20.936348,16.914169
2018,7,day29,21.505787,14.425602
2018,7,day3,20.985426,15.664626
2018,7,day30,17.639524,11.938939
2018,7,day31,18.05532,10.223456
2018,7,day4,18.883494,11.491433
2018,7,day5,21.318526,16.117237
2018,7,day6,18.855708,13.222136
2018,7,day7,19.414402,14.231782
2018,7,day8,17.763727,12.081941
2018,7,day9,22.642182,15.93291
2018,8,day1,16.107747,11.906873
2018,8,day10,15.848047,10.81128
2018,8,day11,14.483438,7.932793
2018,8,day12,17.594882,11.509683
2018,8,day13,16.760491,11.662101
2018,8,day14,13.4649,8.321988
2018,8,day15,14.630291,9.351452
2018,8,day16,16.240913,11.687417
2018,8,day17,14.387569,7.61177
2018,8,day18,17.238515,12.981599
2018,8,day19,15.445596,9.275152
2018,8,day2,14.49519,7.101844
2018,8,day20,15.494645,10.667308
2018,8,day21,15.520861,7.901507
2018,8,day22,16.504476,9.722385
2018,8,day23,18.140392,11.078014
2018,8,day24,15.282286,11.258702
2018,8,day25,15.110553,8.096652
2018,8,day26,18.120688,10.306966
2018,8,day27,15.514128,8.524065
2018,8,day28,16.276794,9.863784
2018,8,day29,14.323232,9.445546
2018,8,day3,15.738771,8.533105
2018,8,day30,15.615016,11.498917
2018,8,day31,15.016777,8.30021
2018,8,day4,17.005466,9.053897
2018,8,day5,16.572714,8.772555
2018,8,day6,18.348556,11.897946
2018,8,day7,17.315644,11.296531
2018,8,day8,17.983415,11.791927
2018,8,day9,18.383249,11.408627
2018,9,day1,12.497697,7.837518
2018,9,day10,14.583856,7.256159
2018,9,day11,11.585426,7.257801
2018,9,day12,10.188096,4.03042
2018,9,day13,16.071244,10.671402
2018,9,day14,13.972661,6.847729
2018,9,day15,13.982325,6.965392
2018,9,day16,15.769467,10.972024
2018,9,day17,10.194077,5.584547
2018,9,day18,10.829123,4.151287
2018,9,day19,13.455614,8.583756
2018,9,day2,12.876138,8.365626
2018,9,day20,14.268587,7.200994
2018,9,day21,11.078532,4.649542
2018,9,day22,14.559351,10.101219
2018,9,day23,14.987604,7.128721
2018,9,day24,10.720389,6.617676
2018,9,day25,11.94354,5.234151
2018,9,day26,15.820834,10.234216
2018,9,day27,14.361885,10.057899
2018,9,day28,14.215483,7.706514
2018,9,day29,10.683205,3.593281
2018,9,day3,13.805339,9.697473
2018,9,day30,15.173556,8.77191
2018,9,day31,10.798127,2.86275
2018,9,day4,12.435918,6.17835
2018,9,day5,10.234409,3.66341
2018,9,day6,10.885994,5.0392
2018,9,day7,10.373505,4.857089
2018,9,day8,11.341758,6.034375
2018,9,day9,14.639175,9.12267
2018,10,day1,13.695812,8.306997
2018,10,day10,12.229037,6.295047
2018,10,day11,11.613447,4.689342
2018,10,day12,10.610373,3.203521
2018,10,day13,13.984386,9.637735
2018,10,day14,14.289787,9.314333
2018,10,day15,11.788251,5.346924
2018,10,day16,11.273936,7.159136
2018,10,day17,14.105717,9.378358
2018,10,day18,10.272719,3.08139
2018,10,day19,11.042033,3.520753
2018,10,day2,11.570268,6.087985
2018,10,day20,13.207103,8.102028
2018,10,day21,9.060907,1.268656
2018,10,day22,9.513678,2.633379
2018,10,day23,11.931467,4.898808
2018,10,day24,13.143656,6.560044
2018,10,day25,11.944928,4.773197
2018,10,day26,9.55832,4.671935
2018,10,day27,13.150723,7.925899
2018,10,day28,12.489334,6.596292
2018,10,day29,12.185532,6.483516
2018,10,day3,12.035765,6.67084
2018,10,day30,13.475613,8.152447
2018,10,day31,13.21713,8.133464
2018,10,day4,14.097454,6.80813
2018,10,day5,9.633233,1.790083
2018,10,day6,12.813511,5.498681
2018,10,day7,13.243852,7.501903
2018,10,day8,13.402772,5.540877
2018,10,day9,10.620494,3.387698
2018,11,day1,11.580219,7.097595
2018,11,day10,13.276607,8.179362
2018,11,day11,15.917566,9.70413
2018,11,day12,14.256301,9.751183
2018,11,day13,15.282564,9.319049
2018,11,day14,15.308115,9.011858
2018,11,day15,12.888178,7.126303
2018,11,day16,11.177979,6.972472
2018,11,day17,15.718178,9.807262
2018,11,day18,15.004491,9.401661
2018,11,day19,10.51629,3.998507
2018,11,day2,11.227303,6.749084
2018,11,day20,10.393451,5.796661
2018,11,day21,13.448834,8.233492
2018,11,day22,16.035306,11.561499
2018,11,day23,14.658457,8.233187
2018,11,day24,14.816242,9.913493
2018,11,day25,13.207232,7.405174
2018,11,day26,12.728123,5.287456
2018,11,day27,16.011984,10.790463
2018,11,day28,13.797961,7.359437
2018,11,day29,14.512333,6.721972
2018,11,day3,13.286981,6.238222
2018,11,day30,11.318524,6.474423
2018,11,day31,14.034366,9.406137
2018,11,day4,11.182696,6.317157
2018,11,day5,12.976988,6.078648
2018,11,day6,15.931439,9.832891
2018,11,day7,11.769789,7.367685
2018,11,day8,11.236502,6.32657
2018,11,day9,11.148446,7.091853
2018,12,day1,14.042881,9.742622
2018,12,day10,16.885808,9.252163
2018,12,day11,17.959787,13.674148
2018,12,day12,13.995537,8.765089
2018,12,day13,17.493746,11.216918
2018,12,day14,14.731664,10.234249
2018,12,day15,17.132068,10.333133
2018,12,day16,18.656057,12.654169
2018,12,day17,15.962771,11.641004
2018,12,day18,13.239165,7.51105
2018,12,day19,14.93393,9.932458
2018,12,day2,13.016054,7.21404
2018,12,day20,13.547961,5.700317
2018,12,day21,18.015752,11.714955
2018,12,day22,18.704718,10.706428
2018,12,day23,17.03369,11.955645
2018,12,day24,13.24139,6.216315
2018,12,day25,15.823005,9.216967
2018,12,day26,18.496437,13.77048
2018,12,day27,16.511978,9.972839
2018,12,day28,15.950355,11.585385
2018,12,day29,15.087766,9.754533
2018,12,day3,16.562867,11.39783
2018,12,day30,17.020801,9.589869
2018,12,day31,14.978822,8.204127
2018,12,day4,14.388857,7.561034
2018,12,day5,17.217925,11.4018
2018,12,day6,17.12431,9.428665
2018,12,day7,17.726968,11.226736
2018,12,day8,16.967098,9.232424
2018,12,day9,15.550834,9.372584
2019,1,day1,18.729307,10.948533
2019,1,day10,21.559943,16.74571
2019,1,day11,20.295318,12.584627
2019,1,day12,19.628697,12.835696
2019,1,day13,17.728557,9.835969
2019,1,day14,20.65323,15.69604
2019,1,day15,17.950269,11.746913
2019,1,day16,20.313508,15.940672
2019,1,day17,22.953543,15.301823
2019,1,day18,19.768687,15.298823
2019,1,day19,21.992859,15.999357
2019,1,day2,21.881396,15.68101
2019,1,day20,21.29962,15.264132
2019,1,day21,18.640549,11.301654
2019,1,day22,22.881468,17.906544
2019,1,day23,20.30759,14.773246
2019,1,day24,22.531209,16.498245
2019,1,day25,22.275958,14.81985
2019,1,day26,18.657484,11.49746
2019,1,day27,19.489655,11.752661
2019,1,day28,20.046426,12.764228
2019,1,day29,18.697034,13.502811
2019,1,day3,19.728955,14.470887
2019,1,day30,20.521626,12.526017
2019,1,day31,19.937842,15.34346
2019,1,day4,18.939643,11.058904
2019,1,day5,19.42505,13.366665
2019,1,day6,22.928715,16.298074
2019,1,day7,20.255562,14.602571
2019,1,day8,18.125495,12.678378
2019,1,day9,21.538659,15.037024
2019,2,day1,24.231483,18.850988
2019,2,day10,26.884909,20.903594
2019,2,day11,21.222118,15.212953
2019,2,day12,24.541083,17.062281
2019,2,day13,26.245142,20.483917
2019,2,day14,24.155707,18.327994
2019,2,day15,25.334663,19.694748
2019,2,day16,24.928688,20.311243
2019,2,day17,23.816944,15.940129
2019,2,day18,23.031367,16.260549
2019,2,day19,24.89902,17.491959
2019,2,day2,24.311505,18.137784
2019,2,day20,26.114048,18.676679
2019,2,day21,23.280056,18.013412
2019,2,day22,25.312305,18.274697
2019,2,day23,26.234298,22.090702
2019,2,day24,21.410524,14.88588
2019,2,day25,26.525575,18.535871
2019,2,day26,25.480598,19.744712
2019,2,day27,21.590659,15.055667
2019,2,day28,26.235475,20.460761
2019,2,day29,25.164007,17.550311
2019,2,day3,23.732068,18.444958
2019,2,day30,21.275946,14.091372
2019,2,day31,22.760207,17.260842
2019,2,day4,22.131914,15.341921
2019,2,day5,24.430786,19.496536
2019,2,day6,25.653267,21.478678
2019,2,day7,25.468231,18.647319
2019,2,day8,25.868453,20.324138
2019,2,day9,24.982133,17.699143
2019,3,day1,24.801622,18.676957
2019,3,day10,24.876057,19.109138
2019,3,day11,26.001597,19.65131
2019,3,day12,27.761835,22.0646
2019,3,day13,25.428793,18.047577
2019,3,day14,25.123505,19.584732
2019,3,day15,26.827452,21.878629
2019,3,day16,27.359739,21.060492
2019,3,day17,29.884355,24.703432
2019,3,day18,29.79587,23.162951
2019,3,day19,25.575086,19.311369
2019,3,day2,27.323772,20.153694
2019,3,day20,28.043,21.064325
2019,3,day21,24.222469,17.796843
2019,3,day22,26.908567,19.291946
2019,3,day23,25.645368,18.449928
2019,3,day24,27.570593,22.161309
2019,3,day25,27.74791,21.264346
2019,3,day26,27.99479,21.111076
2019,3,day27,27.883292,20.529944
2019,3,day28,27.697692,20.084077
2019,3,day29,27.806247,22.570515
2019,3,day3,24.948105,20.632232
2019,3,day30,26.573142,20.254847
2019,3,day31,28.322362,23.961828
2019,3,day4,29.153241,22.674399
2019,3,day5,25.373182,17.721866
2019,3,day6,24.78691,18.94231
2019,3,day7,25.452067,20.43076
2019,3,day8,23.984588,16.766056
2019,3,day9,29.33546,22.625016
2019,4,day1,26.770663,19.780739
2019,4,day10,30.799001,23.358439
2019,4,day11,29.3453,21.425531
2019,4,day12,30.803618,23.585268
2019,4,day13,27.19465,20.031922
2019,4,day14,25.083512,18.937223
2019,4,day15,27.728716,21.037403
2019,4,day16,29.034045,22.695804
2019,4,day17,29.934504,22.173336
2019,4,day18,25.650077,20.714789
2019,4,day19,25.150148,17.613209
2019,4,day2,26.05384,21.525201
2019,4,day20,28.368444,20.707421
2019,4,day21,26.328203,22.075335
2019,4,day22,29.943132,22.305582
2019,4,day23,26.813141,21.179958
2019,4,day24,25.838662,18.053616
2019,4,day25,26.826188,20.855689
2019,4,day26,25.583152,18.034115
2019,4,day27,25.813984,19.999409
2019,4,day28,29.022917,22.050357
2019,4,day29,30.675845,24.999338
2019,4,day3,28.236447,20.350488
2019,4,day30,29.453614,24.835522
2019,4,day31,27.489307,23.093221
2019,4,day4,28.185114,20.531166
2019,4,day5,29.982836,24.954955
2019,4,day6,29.948139,24.020748
2019,4,day7,29.838931,22.852694
2019,4,day8,27.032292,22.571613
2019,4,day9,30.77736,26.214332
2019,5,day1,26.864285,21.231822
2019,5,day10,27.904816,21.337998
2019,5,day11,27.511079,23.425649
2019,5,day12,28.648971,23.674695
2019,5,day13,24.683747,18.425435
2019,5,day14,24.339864,17.279235
2019,5,day15,25.171147,20.307342
2019,5,day16,29.146376,23.832138
2019,5,day17,24.813528,17.211404
2019,5,day18,23.945217,16.511592
2019,5,day19,24.796331,20.276363
2019,5,day2,29.637332,25.506467
2019,5,day20,25.432128,20.73414
2019,5,day21,27.894549,23.791428
2019,5,day22,24.017365,16.857427
2019,5,day23,25.355793,20.060707
2019,5,day24,24.97368,20.764084
2019,5,day25,28.378512,22.274169
2019,5,day26,28.402195,22.497211
2019,5,day27,28.596305,22.543354
2019,5,day28,24.582527,18.567173
2019,5,day29,29.600697,25.427237
2019,5,day3,26.151383,20.377851
2019,5,day30,28.627565,21.159642
2019,5,day31,27.056911,21.22474
2019,5,day4,29.631534,22.209733
2019,5,day5,24.524331,17.78161
2019,5,day6,27.194998,19.283628
2019,5,day7,26.080246,20.487688
2019,5,day8,25.067055,20.578416
2019,5,day9,29.016402,23.197533
2019,6,day1,26.784157,22.540855
2019,6,day10,24.632561,20.235847
2019,6,day11,25.210677,17.799506
2019,6,day12,24.9055,17.829649
2019,6,day13,25.325039,20.464947
2019,6,day14,23.709329,18.795355
2019,6,day15,23.03359,17.219594
2019,6,day16,23.495938,19.115595
2019,6,day17,23.560584,16.900153
2019,6,day18,23.245806,18.63525
2019,6,day19,26.53791,22.269377
2019,6,day2,23.873891,18.267422
2019,6,day20,25.990631,21.617711
2019,6,day21,21.579387,14.624203
2019,6,day22,25.870616,19.645133
2019,6,day23,24.51879,18.272445
2019,6,day24,22.977876,18.488951
2019,6,day25,23.121588,16.460226
2019,6,day26,25.501706,18.029337
2019,6,day27,25.326364,17.45277
2019,6,day28,24.602461,19.195876
2019,6,day29,24.467511,19.616556
2019,6,day3,25.116585,19.15551
2019,6,day30,24.940418,20.043438
2019,6,day31,21.64931,14.267817
2019,6,day4,26.458205,22.164242
2019,6,day5,21.484743,15.051553
2019,6,day6,21.394093,16.294029
2019,6,day7,24.79846,18.605035
2019,6,day8,22.951113,14.972602
2019,6,day9,24.183341,18.368479
2019,7,day1,19.205366,12.154944
2019,7,day10,22.219176,15.953892
2019,7,day11,19.404706,14.837207
2019,7,day12,20.799032,16.676404
2019,7,day13,21.476671,16.616139
2019,7,day14,19.518995,14.155411
2019,7,day15,19.220319,12.333935
2019,7,day16,21.661014,15.390639
2019,7,day17,17.509742,13.299307
2019,7,day18,17.944459,11.473107
2019,7,day19,21.043812,15.955401
2019,7,day2,20.4446,13.215715
2019,7,day20,20.971632,15.028985
2019,7,day21,19.652265,14.559598
2019,7,day22,21.529659,17.074389
2019,7,day23,19.579482,14.446496
2019,7,day24,21.070918,15.124387
2019,7,day25,21.002795,16.821126
2019,7,day26,19.37158,12.974281
2019,7,day27,17.046123,11.840445
2019,7,day28,18.267404,13.718465
2019,7,day29,18.533117,13.220628
2019,7,day3,22.070931,14.172745
2019,7,day30,17.046379,10.058323
2019,7,day31,18.054169,12.533339
2019,7,day4,21.910561,15.456268
2019,7,day5,20.856195,16.75118
2019,7,day6,22.574506,15.256663
2019,7,day7,18.604686,13.883022
2019,7,day8,21.216193,15.980254
2019,7,day9,19.038948,15.014525
2019,8,day1,17.222028,11.220978
2019,8,day10,16.708752,9.380648
2019,8,day11,18.518619,14.166099
2019,8,day12,18.066906,13.09364
2019,8,day13,16.533228,10.437378
2019,8,day14,15.3746,10.133502
2019,8,day15,15.03708,9.704805
2019,8,day16,14.008796,7.966863
2019,8,day17,13.68416,7.644352
2019,8,day18,18.435536,13.038035
2019,8,day19,17.364275,10.08848
2019,8,day2,18.000125,10.775324
2019,8,day20,17.890222,12.945147
2019,8,day21,13.878665,9.089578
2019,8,day22,16.614394,9.573533
2019,8,day23,16.933054,12.22447
2019,8,day24,17.637089,11.66062
2019,8,day25,17.526675,10.487166
2019,8,day26,15.693432,7.996815
2019,8,day27,16.386951,9.845757
2019,8,day28,16.747131,9.290143
2019,8,day29,16.763304,12.159475
2019,8,day3,13.432453,5.985396
2019,8,day30,13.409718,7.640885
2019,8,day31,14.816923,9.718228
2019,8,day4,13.253814,9.178847
2019,8,day5,18.526975,11.078535
2019,8,day6,16.454555,10.160956
2019,8,day7,17.256994,11.586218
2019,8,day8,13.69104,9.607614
2019,8,day9,14.948609,7.74332
2019,9,day1,10.408829,4.379482
2019,9,day10,12.000957,6.098441
2019,9,day11,10.976963,6.729468
2019,9,day12,10.692808,3.096301
2019,9,day13,12.132423,5.275161
2019,9,day14,13.099091,8.408855
2019,9,day15,11.558259,5.807226
2019,9,day16,12.708328,6.617335
2019,9,day17,11.024274,5.532866
2019,9,day18,11.769158,6.134081
2019,9,day19,12.102,5.710456
2019,9,day2,11.934244,6.126588
2019,9,day20,14.807158,8.217937
2019,9,day21,10.467268,6.089244
2019,9,day22,14.142073,9.005485
2019,9,day23,14.414199,7.787942
2019,9,day24,15.509853,8.016734
2019,9,day25,12.071969,5.741011
2019,9,day26,10.920367,5.521084
2019,9,day27,15.877976,9.084056
2019,9,day28,12.423545,6.04338
2019,9,day29,15.69981,10.461482
2019,9,day3,10.413137,3.086351
2019,9,day30,12.331873,5.165225
2019,9,day31,14.950905,8.27044
2019,9,day4,10.532183,3.075183
2019,9,day5,15.203557,8.743523
2019,9,day6,13.114204,7.263357
2019,9,day7,13.397695,6.230424
2019,9,day8,15.447057,9.648123
2019,9,day9,14.930692,8.323342
2019,10,day1,13.973754,7.018655
2019,10,day10,14.010719,6.47599
2019,10,day11,9.226485,3.879427
2019,10,day12,13.597846,9.073649
2019,10,day13,11.260319,6.61133
2019,10,day14,13.98807,6.903679
2019,10,day15,13.854262,9.192106
2019,10,day16,11.62604,5.982606
2019,10,day17,13.058178,8.108057
2019,10,day18,11.665192,6.525481
2019,10,day19,13.491219,7.695507
2019,10,day2,13.112487,7.006913
2019,10,day20,12.204067,6.966195
2019,10,day21,13.851743,7.975681
2019,10,day22,14.01068,8.539317
2019,10,day23,14.682781,6.745022
2019,10,day24,11.77008,6.642993
2019,10,day25,11.291235,5.181395
2019,10,day26,14.797609,7.530044
2019,10,day27,13.807555,9.253961
2019,10,day28,10.500019,3.935303
2019,10,day29,14.244702,8.026539
2019,10,day3,12.876149,7.182523
2019,10,day30,9.615538,2.231969
2019,10,day31,14.106996,8.966744
2019,10,day4,11.170969,5.720578
2019,10,day5,10.081578,5.224807
2019,10,day6,14.68601,8.740926
2019,10,day7,10.359258,5.808997
2019,10,day8,9.462991,2.085277
2019,10,day9,9.606845,2.523346
2019,11,day1,14.650498,9.559333
2019,11,day10,13.971561,6.806038
2019,11,day11,10.897394,5.749877
2019,11,day12,15.050366,8.266078
2019,11,day13,10.904553,4.082408
2019,11,day14,12.763406,8.742401
2019,11,day15,10.547151,5.523456
2019,11,day16,15.081575,8.886358
2019,11,day17,14.435205,8.324119
2019,11,day18,10.738918,5.586512
2019,11,day19,11.878704,7.687706
2019,11,day2,15.503634,10.914239
2019,11,day20,12.59075,5.415154
2019,11,day21,12.814478,8.371047
2019,11,day22,15.502678,9.115722
2019,11,day23,10.170409,4.108906
2019,11,day24,11.523426,6.949118
2019,11,day25,12.64723,6.187992
2019,11,day26,11.515182,5.848912
2019,11,day27,14.058025,9.715569
2019,11,day28,15.919724,11.649006
2019,11,day29,13.228153,7.198843
2019,11,day3,12.696632,4.910979
2019,11,day30,16.001786,9.785178
2019,11,day31,12.414519,6.533979
2019,11,day4,11.404025,5.599513
2019,11,day5,12.169307,8.062626
2019,11,day6,10.391338,4.38331
2019,11,day7,11.486465,3.508364
2019,11,day8,12.321273,8.208523
2019,11,day9,15.656752,8.300047
2019,12,day1,16.814025,8.889867
2019,12,day10,16.790415,9.544424
2019,12,day11,13.378603,6.273842
2019,12,day12,15.746077,10.572307
2019,12,day13,13.262838,8.464958
2019,12,day14,13.251436,5.517952
2019,12,day15,16.092302,8.135811
2019,12,day16,16.258184,11.244929
2019,12,day17,17.519746,12.755332
2019,12,day18,15.141845,8.018479
2019,12,day19,18.19479,12.867091
2019,12,day2,14.521902,10.456933
2019,12,day20,13.74685,8.274773
2019,12,day21,18.336919,11.363688
2019,12,day22,18.367825,12.821246
2019,12,day23,18.842342,12.857529
2019,12,day24,15.98514,8.287898
2019,12,day25,16.115655,8.911063
2019,12,day26,17.362488,13.04678
2019,12,day27,16.61472,9.325355
2019,12,day28,16.272846,10.988001
2019,12,day29,13.480413,6.836737
2019,12,day3,17.73112,12.35191
2019,12,day30,14.838975,8.428489
2019,12,day31,15.556696,8.797637
2019,12,day4,17.397646,10.884618
2019,12,day5,17.629008,10.68826
2019,12,day6,14.995112,10.817769
2019,12,day7,16.276082,9.022047
2019,12,day8,14.050535,6.933964
2019,12,day9,15.787737,9.00618
2020,1,day1,19.109282,14.939861
2020,1,day10,17.4034,10.289339
2020,1,day11,19.197971,13.666553
2020,1,day12,20.403468,13.983089
2020,1,day13,21.074372,13.279078
2020,1,day14,19.23208,12.179742
2020,1,day15,20.443531,14.325691
2020,1,day16,19.388204,12.789961
2020,1,day17,18.49767,14.043875
2020,1,day18,21.414049,15.417873
2020,1,day19,19.321924,13.075233
2020,1,day2,22.220223,16.809986
2020,1,day20,18.57066,13.529501
2020,1,day21,19.677639,11.692178
2020,1,day22,18.713461,11.047546
2020,1,day23,19.947201,15.456651
2020,1,day24,22.116958,16.308787
2020,1,day25,22.392074,16.611629
2020,1,day26,17.526744,10.799027
2020,1,day27,22.073127,16.794776
2020,1,day28,19.084552,14.824795
2020,1,day29,20.253028,12.687701
2020,1,day3,22.988904,17.890682
2020,1,day30,22.108172,15.260936
2020,1,day31,22.563947,16.013147
2020,1,day4,22.880164,15.088546
2020,1,day5,17.450247,10.900197
2020,1,day6,19.179867,11.975483
2020,1,day7,21.076464,13.265306
2020,1,day8,17.856677,11.426385
2020,1,day9,21.687872,17.548676
2020,2,day1,25.762178,19.727155
